shift,A,cluster,peaks,Hs
1.98288,7.14843,c4,10,1
1.98308,8.16966,c4,10,1
1.98328,9.31831,c4,10,1
1.98348,10.467,c4,10,1
1.98367,11.6243,c4,10,1
1.98387,12.7816,c4,10,1
1.98407,13.8977,c4,10,1
1.98427,15.0138,c4,10,1
1.98447,16.1486,c4,10,1
1.98467,17.214,c4,10,1
1.98486,18.0926,c4,10,1
1.98506,18.6469,c4,10,1
1.98526,18.8754,c4,10,1
1.98546,18.7796,c4,10,1
1.98566,18.4534,c4,10,1
1.98586,17.8956,c4,10,1
1.98605,17.2161,c4,10,1
1.98625,16.3977,c4,10,1
1.98645,15.4808,c4,10,1
1.98665,14.4249,c4,10,1
1.98685,13.2806,c4,10,1
1.98704,12.1364,c4,10,1
1.98724,10.9755,c4,10,1
1.98744,9.88412,c4,10,1
1.98764,8.88106,c4,10,1
1.98784,7.9475,c4,10,1
1.98804,7.12543,c4,10,1
1.98823,6.37285,c4,10,1
1.98843,5.72018,c4,10,1
1.98863,5.20651,c4,10,1
1.98883,4.75691,c4,10,1
1.98903,4.37682,c4,10,1
1.98923,4.08214,c4,10,1
1.98942,3.78747,c4,10,1
1.98962,3.54203,c4,10,1
1.98982,3.29658,c4,10,1
1.99002,3.05114,c4,10,1
1.99022,2.8057,c4,10,1
1.99041,2.66667,c4,10,1
1.99061,2.52765,c4,10,1
1.99081,2.5508,c4,10,1
1.99101,2.57394,c4,10,1
1.99121,2.6579,c4,10,1
1.99141,2.74185,c4,10,1
1.9916,2.82581,c4,10,1
1.9918,2.90977,c4,10,1
1.992,3.00315,c4,10,1
1.9922,3.09655,c4,10,1
1.9924,3.30577,c4,10,1
1.9926,3.51499,c4,10,1
1.99279,3.82267,c4,10,1
1.99299,4.13035,c4,10,1
1.99319,4.52346,c4,10,1
1.99339,4.98607,c4,10,1
1.99359,5.51166,c4,10,1
1.99378,6.17625,c4,10,1
1.99398,6.89876,c4,10,1
1.99418,7.69077,c4,10,1
1.99438,8.55517,c4,10,1
1.99458,9.55857,c4,10,1
1.99478,10.6691,c4,10,1
1.99497,11.9187,c4,10,1
1.99517,13.3103,c4,10,1
1.99537,14.7714,c4,10,1
1.99557,16.1978,c4,10,1
1.99577,17.6242,c4,10,1
1.99597,19.0288,c4,10,1
1.99616,20.364,c4,10,1
1.99636,21.5413,c4,10,1
1.99656,22.5796,c4,10,1
1.99676,23.3675,c4,10,1
1.99696,23.831,c4,10,1
1.99715,24.0194,c4,10,1
1.99735,23.9761,c4,10,1
1.99755,23.8532,c4,10,1
1.99775,23.7304,c4,10,1
1.99795,23.6784,c4,10,1
1.99815,23.696,c4,10,1
1.99834,23.8087,c4,10,1
1.99854,24.0604,c4,10,1
1.99874,24.4236,c4,10,1
1.99894,25.0185,c4,10,1
1.99914,25.8826,c4,10,1
1.99934,26.9785,c4,10,1
1.99953,28.3711,c4,10,1
1.99973,29.9028,c4,10,1
1.99993,31.5887,c4,10,1
2.00013,33.344,c4,10,1
2.00033,35.124,c4,10,1
2.00052,36.904,c4,10,1
2.00072,38.5435,c4,10,1
2.00092,39.9514,c4,10,1
2.00112,41.0262,c4,10,1
2.00132,41.5914,c4,10,1
2.00152,41.6184,c4,10,1
2.00171,41.1358,c4,10,1
2.00191,40.0855,c4,10,1
2.00211,38.6183,c4,10,1
2.00231,36.7326,c4,10,1
2.00251,34.6153,c4,10,1
2.00271,32.2938,c4,10,1
2.0029,29.9028,c4,10,1
2.0031,27.5277,c4,10,1
2.0033,25.1527,c4,10,1
2.0035,22.8181,c4,10,1
2.0037,20.5531,c4,10,1
2.00389,18.4227,c4,10,1
2.00409,16.524,c4,10,1
2.00429,14.8584,c4,10,1
2.00449,13.5172,c4,10,1
2.00469,12.419,c4,10,1
2.00489,11.4599,c4,10,1
2.00508,10.621,c4,10,1
2.00528,9.8515,c4,10,1
2.00548,9.20223,c4,10,1
2.00568,8.69195,c4,10,1
2.00588,8.38149,c4,10,1
2.00608,8.21002,c4,10,1
2.00627,8.17249,c4,10,1
2.00647,8.20446,c4,10,1
2.00667,8.29144,c4,10,1
2.00687,8.44793,c4,10,1
2.00707,8.75211,c4,10,1
2.00726,9.19528,c4,10,1
2.00746,9.79628,c4,10,1
2.00766,10.5363,c4,10,1
2.00786,11.4171,c4,10,1
2.00806,12.4369,c4,10,1
2.00826,13.6189,c4,10,1
2.00845,14.9398,c4,10,1
2.00865,16.4751,c4,10,1
2.00885,18.1493,c4,10,1
2.00905,19.9394,c4,10,1
2.00925,21.8685,c4,10,1
2.00944,23.8888,c4,10,1
2.00964,26.0481,c4,10,1
2.00984,28.345,c4,10,1
2.01004,30.7114,c4,10,1
2.01024,33.0589,c4,10,1
2.01044,35.2674,c4,10,1
2.01063,37.2849,c4,10,1
2.01083,39.1633,c4,10,1
2.01103,40.8913,c4,10,1
2.01123,42.5498,c4,10,1
2.01143,44.1938,c4,10,1
2.01163,45.7684,c4,10,1
2.01182,47.1634,c4,10,1
2.01202,48.3267,c4,10,1
2.01222,49.1584,c4,10,1
2.01242,49.6659,c4,10,1
2.01262,49.9091,c4,10,1
2.01281,49.9206,c4,10,1
2.01301,49.712,c4,10,1
2.01321,49.2718,c4,10,1
2.01341,48.4811,c4,10,1
2.01361,47.3662,c4,10,1
2.01381,45.8748,c4,10,1
2.014,44.059,c4,10,1
2.0142,42.0502,c4,10,1
2.0144,39.9023,c4,10,1
2.0146,37.8181,c4,10,1
2.0148,35.873,c4,10,1
2.015,34.1103,c4,10,1
2.01519,32.5792,c4,10,1
2.01539,31.3435,c4,10,1
2.01559,30.3395,c4,10,1
2.01579,29.5867,c4,10,1
2.01599,29.0656,c4,10,1
2.01618,28.8398,c4,10,1
2.01638,28.8457,c4,10,1
2.01658,29.0905,c4,10,1
2.01678,29.4744,c4,10,1
2.01698,29.8886,c4,10,1
2.01718,30.2333,c4,10,1
2.01737,30.4244,c4,10,1
2.01757,30.3838,c4,10,1
2.01777,30.1507,c4,10,1
2.01797,29.6859,c4,10,1
2.01817,29.0227,c4,10,1
2.01837,28.2206,c4,10,1
2.01856,27.3127,c4,10,1
2.01876,26.3353,c4,10,1
2.01896,25.3551,c4,10,1
2.01916,24.3748,c4,10,1
2.01936,23.535,c4,10,1
2.01955,22.8342,c4,10,1
2.01975,22.3274,c4,10,1
2.01995,22.0523,c4,10,1
2.02015,22.0262,c4,10,1
2.02035,22.2318,c4,10,1
2.02055,22.6885,c4,10,1
2.02074,23.3768,c4,10,1
2.02094,24.2274,c4,10,1
2.02114,25.2169,c4,10,1
2.02134,26.3512,c4,10,1
2.02154,27.6246,c4,10,1
2.02174,28.9355,c4,10,1
2.02193,30.2465,c4,10,1
2.02213,31.4887,c4,10,1
2.02233,32.5919,c4,10,1
2.02253,33.4996,c4,10,1
2.02273,34.2683,c4,10,1
2.02292,34.9328,c4,10,1
2.02312,35.5278,c4,10,1
2.02332,36.0258,c4,10,1
2.02352,36.4542,c4,10,1
2.02372,36.7852,c4,10,1
2.02392,37.0467,c4,10,1
2.02411,37.2112,c4,10,1
2.02431,37.3061,c4,10,1
2.02451,37.3548,c4,10,1
2.02471,37.2644,c4,10,1
2.02491,37.0727,c4,10,1
2.02511,36.6493,c4,10,1
2.0253,36.0739,c4,10,1
2.0255,35.429,c4,10,1
2.0257,34.8145,c4,10,1
2.0259,34.339,c4,10,1
2.0261,34.0677,c4,10,1
2.02629,34.028,c4,10,1
2.02649,34.1505,c4,10,1
2.02669,34.5046,c4,10,1
2.02689,35.1189,c4,10,1
2.02709,36.0574,c4,10,1
2.02729,37.2754,c4,10,1
2.02748,38.8178,c4,10,1
2.02768,40.5324,c4,10,1
2.02788,42.3166,c4,10,1
2.02808,44.0703,c4,10,1
2.02828,45.685,c4,10,1
2.02848,47.0971,c4,10,1
2.02867,48.1848,c4,10,1
2.02887,48.8381,c4,10,1
2.02907,48.9817,c4,10,1
2.02927,48.6013,c4,10,1
2.02947,47.6184,c4,10,1
2.02966,46.1607,c4,10,1
2.02986,44.286,c4,10,1
2.03006,42.0873,c4,10,1
2.03026,39.5643,c4,10,1
2.03046,36.84,c4,10,1
2.03066,33.9767,c4,10,1
2.03085,31.0859,c4,10,1
2.03105,28.2646,c4,10,1
2.03125,25.6272,c4,10,1
2.03145,23.2214,c4,10,1
2.03165,21.064,c4,10,1
2.03185,19.1382,c4,10,1
2.03204,17.3746,c4,10,1
2.03224,15.8427,c4,10,1
2.03244,14.5424,c4,10,1
2.03264,13.4738,c4,10,1
2.03284,12.7006,c4,10,1
2.03303,12.159,c4,10,1
2.03323,11.7583,c4,10,1
2.03343,11.4965,c4,10,1
2.03363,11.4085,c4,10,1
2.03383,11.4595,c4,10,1
2.03403,11.774,c4,10,1
2.03422,12.3202,c4,10,1
2.03442,13.1053,c4,10,1
2.03462,14.122,c4,10,1
2.03482,15.2047,c4,10,1
2.03502,16.3568,c4,10,1
2.03522,17.6001,c4,10,1
2.03541,18.8435,c4,10,1
2.03561,20.2099,c4,10,1
2.03581,21.5763,c4,10,1
2.03601,23.0499,c4,10,1
2.03621,24.5234,c4,10,1
2.0364,25.9196,c4,10,1
2.0366,27.1768,c4,10,1
2.0368,28.1937,c4,10,1
2.037,28.8862,c4,10,1
2.0372,29.2457,c4,10,1
2.0374,29.3735,c4,10,1
2.03759,29.3102,c4,10,1
2.03779,29.2469,c4,10,1
2.03799,29.2075,c4,10,1
2.03819,29.1681,c4,10,1
2.03839,29.2532,c4,10,1
2.03859,29.3383,c4,10,1
2.03878,29.4915,c4,10,1
2.03898,29.7836,c4,10,1
2.03918,30.2235,c4,10,1
2.03938,30.895,c4,10,1
2.03958,31.7505,c4,10,1
2.03977,32.745,c4,10,1
2.03997,33.7394,c4,10,1
2.04017,34.5949,c4,10,1
2.04037,35.3071,c4,10,1
2.04057,35.7876,c4,10,1
2.04077,36.1117,c4,10,1
2.04096,36.2968,c4,10,1
2.04116,36.3554,c4,10,1
2.04136,36.275,c4,10,1
2.04156,36.1482,c4,10,1
2.04176,36.0215,c4,10,1
2.04196,35.9237,c4,10,1
2.04215,35.8259,c4,10,1
2.04235,35.7224,c4,10,1
2.04255,35.4798,c4,10,1
2.04275,35.1322,c4,10,1
2.04295,34.5529,c4,10,1
2.04314,33.771,c4,10,1
2.04334,32.7574,c4,10,1
2.04354,31.5569,c4,10,1
2.04374,30.1249,c4,10,1
2.04394,28.5393,c4,10,1
2.04414,26.8148,c4,10,1
2.04433,24.9843,c4,10,1
2.04453,23.1539,c4,10,1
2.04473,21.3191,c4,10,1
2.04493,19.4844,c4,10,1
2.04513,17.7538,c4,10,1
2.04533,16.0928,c4,10,1
2.04552,14.5317,c4,10,1
2.04572,13.1096,c4,10,1
2.04592,11.8299,c4,10,1
2.04612,10.6892,c4,10,1
2.04632,9.61802,c4,10,1
2.04651,8.68584,c4,10,1
2.04671,7.84488,c4,10,1
2.04691,7.14291,c4,10,1
2.04711,6.59443,c4,10,1
2.04731,6.18494,c4,10,1
2.04751,5.9007,c4,10,1
2.0477,5.61645,c4,10,1
2.0479,5.3409,c4,10,1
2.0481,5.06534,c4,10,1
2.0483,4.8506,c4,10,1
2.0485,4.63585,c4,10,1
2.0487,4.58328,c4,10,1
2.04889,4.5307,c4,10,1
2.04909,4.49199,c4,10,1
2.04929,4.45328,c4,10,1
2.04949,4.42326,c4,10,1
2.04969,4.39324,c4,10,1
2.04988,4.42838,c4,10,1
2.05008,4.60251,c4,10,1
2.05028,4.86062,c4,10,1
2.05048,5.11873,c4,10,1
2.05068,5.4239,c4,10,1
2.05088,5.72907,c4,10,1
2.05107,6.1327,c4,10,1
2.05127,6.67533,c4,10,1
2.05147,7.42935,c4,10,1
2.05167,8.41504,c4,10,1
2.05187,9.56289,c4,10,1
2.05206,10.8497,c4,10,1
2.05226,12.34,c4,10,1
2.05246,14.062,c4,10,1
2.05266,16.0214,c4,10,1
2.05286,18.3051,c4,10,1
2.05306,20.7771,c4,10,1
2.05325,23.3881,c4,10,1
2.05345,26.0613,c4,10,1
2.05365,28.7345,c4,10,1
2.05385,31.5127,c4,10,1
2.05405,34.3604,c4,10,1
2.05425,37.1864,c4,10,1
2.05444,39.7807,c4,10,1
2.05464,41.9045,c4,10,1
2.05484,43.3332,c4,10,1
2.05504,43.857,c4,10,1
2.05524,43.5932,c4,10,1
2.05543,42.6184,c4,10,1
2.05563,41.1107,c4,10,1
2.05583,39.1962,c4,10,1
2.05603,36.9805,c4,10,1
2.05623,34.497,c4,10,1
2.05643,31.7587,c4,10,1
2.05662,28.8538,c4,10,1
2.05682,25.9489,c4,10,1
2.05702,23.1316,c4,10,1
2.05722,20.4765,c4,10,1
2.05742,18.0401,c4,10,1
2.05762,15.8584,c4,10,1
2.05781,13.9171,c4,10,1
2.05801,12.1844,c4,10,1
2.05821,10.6803,c4,10,1
2.05841,9.38482,c4,10,1
2.05861,8.2531,c4,10,1
2.0588,7.23721,c4,10,1
2.059,6.31977,c4,10,1
2.37261,7.59577,c1,3,2
2.37281,8.23631,c1,3,2
2.373,8.96373,c1,3,2
2.3732,9.69114,c1,3,2
2.3734,10.4649,c1,3,2
2.3736,11.3776,c1,3,2
2.3738,12.4381,c1,3,2
2.37399,13.7302,c1,3,2
2.37419,15.2344,c1,3,2
2.37439,16.8776,c1,3,2
2.37459,18.7467,c1,3,2
2.37479,20.9401,c1,3,2
2.37499,23.4521,c1,3,2
2.37518,26.4737,c1,3,2
2.37538,30.0166,c1,3,2
2.37558,34.0692,c1,3,2
2.37578,38.5871,c1,3,2
2.37598,43.6147,c1,3,2
2.37618,49.0767,c1,3,2
2.37637,55.0484,c1,3,2
2.37657,61.4342,c1,3,2
2.37677,68.2369,c1,3,2
2.37697,75.2829,c1,3,2
2.37717,82.4679,c1,3,2
2.37736,89.6457,c1,3,2
2.37756,96.6845,c1,3,2
2.37776,103.324,c1,3,2
2.37796,109.453,c1,3,2
2.37816,114.844,c1,3,2
2.37836,119.355,c1,3,2
2.37855,122.95,c1,3,2
2.37875,125.666,c1,3,2
2.37895,127.602,c1,3,2
2.37915,128.843,c1,3,2
2.37935,129.342,c1,3,2
2.37955,129.054,c1,3,2
2.37974,127.79,c1,3,2
2.37994,125.554,c1,3,2
2.38014,122.297,c1,3,2
2.38034,118.161,c1,3,2
2.38054,113.217,c1,3,2
2.38073,107.578,c1,3,2
2.38093,101.372,c1,3,2
2.38113,94.6558,c1,3,2
2.38133,87.6328,c1,3,2
2.38153,80.4708,c1,3,2
2.38173,73.3668,c1,3,2
2.38192,66.4944,c1,3,2
2.38212,60.0391,c1,3,2
2.38232,54.0008,c1,3,2
2.38252,48.3911,c1,3,2
2.38272,43.291,c1,3,2
2.38292,38.6861,c1,3,2
2.38311,34.5909,c1,3,2
2.38331,31.0227,c1,3,2
2.38351,27.9642,c1,3,2
2.38371,25.3111,c1,3,2
2.38391,23.075,c1,3,2
2.3841,21.1401,c1,3,2
2.3843,19.5295,c1,3,2
2.3845,18.2259,c1,3,2
2.3847,17.1539,c1,3,2
2.3849,16.2919,c1,3,2
2.3851,15.5688,c1,3,2
2.38529,14.9483,c1,3,2
2.38549,14.3974,c1,3,2
2.38569,13.9549,c1,3,2
2.38589,13.6515,c1,3,2
2.38609,13.4871,c1,3,2
2.38629,13.4617,c1,3,2
2.38648,13.5449,c1,3,2
2.38668,13.6976,c1,3,2
2.38688,13.8923,c1,3,2
2.38708,14.226,c1,3,2
2.38728,14.6711,c1,3,2
2.38747,15.2553,c1,3,2
2.38767,15.9698,c1,3,2
2.38787,16.8232,c1,3,2
2.38807,17.7462,c1,3,2
2.38827,18.8082,c1,3,2
2.38847,20.0149,c1,3,2
2.38866,21.3605,c1,3,2
2.38886,22.9205,c1,3,2
2.38906,24.7121,c1,3,2
2.38926,26.7818,c1,3,2
2.38946,29.1757,c1,3,2
2.38966,32.0041,c1,3,2
2.38985,35.3421,c1,3,2
2.39005,39.1999,c1,3,2
2.39025,43.5673,c1,3,2
2.39045,48.4734,c1,3,2
2.39065,53.8892,c1,3,2
