shift,A,cluster,peaks,Hs,config
3.5371,4.2407,c5,6,2,beta F
3.53727,4.424,c5,6,2,beta F
3.53744,4.60731,c5,6,2,beta F
3.5376,4.81252,c5,6,2,beta F
3.53777,5.01773,c5,6,2,beta F
3.53794,5.25063,c5,6,2,beta F
3.53811,5.53886,c5,6,2,beta F
3.53827,5.87265,c5,6,2,beta F
3.53844,6.26178,c5,6,2,beta F
3.53861,6.66879,c5,6,2,beta F
3.53878,7.10347,c5,6,2,beta F
3.53895,7.58924,c5,6,2,beta F
3.53911,8.16727,c5,6,2,beta F
3.53928,8.8704,c5,6,2,beta F
3.53945,9.70268,c5,6,2,beta F
3.53962,10.6364,c5,6,2,beta F
3.53978,11.6993,c5,6,2,beta F
3.53995,12.9075,c5,6,2,beta F
3.54012,14.2449,c5,6,2,beta F
3.54029,15.7223,c5,6,2,beta F
3.54046,17.292,c5,6,2,beta F
3.54062,18.9533,c5,6,2,beta F
3.54079,20.6424,c5,6,2,beta F
3.54096,22.2714,c5,6,2,beta F
3.54113,23.6607,c5,6,2,beta F
3.54129,24.6394,c5,6,2,beta F
3.54146,25.12,c5,6,2,beta F
3.54163,25.0509,c5,6,2,beta F
3.5418,24.4376,c5,6,2,beta F
3.54197,23.3474,c5,6,2,beta F
3.54213,21.8606,c5,6,2,beta F
3.5423,20.1173,c5,6,2,beta F
3.54247,18.2725,c5,6,2,beta F
3.54264,16.4772,c5,6,2,beta F
3.5428,14.8203,c5,6,2,beta F
3.54297,13.3459,c5,6,2,beta F
3.54314,12.0652,c5,6,2,beta F
3.54331,10.9806,c5,6,2,beta F
3.54348,10.0897,c5,6,2,beta F
3.54364,9.37053,c5,6,2,beta F
3.54381,8.78977,c5,6,2,beta F
3.54398,8.32318,c5,6,2,beta F
3.54415,7.92115,c5,6,2,beta F
3.54431,7.57833,c5,6,2,beta F
3.54448,7.30009,c5,6,2,beta F
3.54465,7.10198,c5,6,2,beta F
3.54482,6.95,c5,6,2,beta F
3.54499,6.8228,c5,6,2,beta F
3.54515,6.69561,c5,6,2,beta F
3.54532,6.59321,c5,6,2,beta F
3.54549,6.53693,c5,6,2,beta F
3.54566,6.50632,c5,6,2,beta F
3.54582,6.50337,c5,6,2,beta F
3.54599,6.53386,c5,6,2,beta F
3.54616,6.56436,c5,6,2,beta F
3.54633,6.65078,c5,6,2,beta F
3.54649,6.73719,c5,6,2,beta F
3.54666,6.85129,c5,6,2,beta F
3.54683,6.96538,c5,6,2,beta F
3.547,7.09804,c5,6,2,beta F
3.54717,7.2307,c5,6,2,beta F
3.54733,7.40948,c5,6,2,beta F
3.5475,7.58827,c5,6,2,beta F
3.54767,7.81433,c5,6,2,beta F
3.54784,8.04039,c5,6,2,beta F
3.548,8.33102,c5,6,2,beta F
3.54817,8.62165,c5,6,2,beta F
3.54834,8.94804,c5,6,2,beta F
3.54851,9.27441,c5,6,2,beta F
3.54868,9.64231,c5,6,2,beta F
3.54884,10.0563,c5,6,2,beta F
3.54901,10.5378,c5,6,2,beta F
3.54918,11.0654,c5,6,2,beta F
3.54935,11.6299,c5,6,2,beta F
3.54951,12.2405,c5,6,2,beta F
3.54968,12.8982,c5,6,2,beta F
3.54985,13.602,c5,6,2,beta F
3.55002,14.3727,c5,6,2,beta F
3.55019,15.2448,c5,6,2,beta F
3.55035,16.2311,c5,6,2,beta F
3.55052,17.3558,c5,6,2,beta F
3.55069,18.6281,c5,6,2,beta F
3.55086,20.0756,c5,6,2,beta F
3.55102,21.7088,c5,6,2,beta F
3.55119,23.5542,c5,6,2,beta F
3.55136,25.6705,c5,6,2,beta F
3.55153,28.1282,c5,6,2,beta F
3.5517,30.964,c5,6,2,beta F
3.55186,34.2335,c5,6,2,beta F
3.55203,38.0114,c5,6,2,beta F
3.5522,42.3521,c5,6,2,beta F
3.55237,47.3315,c5,6,2,beta F
3.55253,52.9843,c5,6,2,beta F
3.5527,59.352,c5,6,2,beta F
3.55287,66.43,c5,6,2,beta F
3.55304,74.1342,c5,6,2,beta F
3.55321,82.2904,c5,6,2,beta F
3.55337,90.5884,c5,6,2,beta F
3.55354,98.6189,c5,6,2,beta F
3.55371,105.883,c5,6,2,beta F
3.55388,111.79,c5,6,2,beta F
3.55404,115.735,c5,6,2,beta F
3.55421,117.273,c5,6,2,beta F
3.55438,116.201,c5,6,2,beta F
3.55455,112.555,c5,6,2,beta F
3.55472,106.641,c5,6,2,beta F
3.55488,98.9652,c5,6,2,beta F
3.55505,90.1745,c5,6,2,beta F
3.55522,80.9501,c5,6,2,beta F
3.55539,71.8619,c5,6,2,beta F
3.55555,63.3178,c5,6,2,beta F
3.55572,55.5856,c5,6,2,beta F
3.55589,48.8035,c5,6,2,beta F
3.55606,42.9716,c5,6,2,beta F
3.55623,37.9976,c5,6,2,beta F
3.55639,33.782,c5,6,2,beta F
3.55656,30.2398,c5,6,2,beta F
3.55673,27.2615,c5,6,2,beta F
3.5569,24.7536,c5,6,2,beta F
3.55706,22.6309,c5,6,2,beta F
3.55723,20.8126,c5,6,2,beta F
3.5574,19.2503,c5,6,2,beta F
3.55757,17.9002,c5,6,2,beta F
3.55773,16.7076,c5,6,2,beta F
3.5579,15.6718,c5,6,2,beta F
3.55807,14.7917,c5,6,2,beta F
3.55824,14.0499,c5,6,2,beta F
3.55841,13.4224,c5,6,2,beta F
3.55857,12.8594,c5,6,2,beta F
3.55874,12.3909,c5,6,2,beta F
3.55891,12.0239,c5,6,2,beta F
3.55908,11.7469,c5,6,2,beta F
3.55924,11.5344,c5,6,2,beta F
3.55941,11.3531,c5,6,2,beta F
3.55958,11.2179,c5,6,2,beta F
3.55975,11.1328,c5,6,2,beta F
3.55992,11.1124,c5,6,2,beta F
3.56008,11.1432,c5,6,2,beta F
3.56025,11.174,c5,6,2,beta F
3.56042,11.2262,c5,6,2,beta F
3.56059,11.306,c5,6,2,beta F
3.56075,11.4211,c5,6,2,beta F
